Year,Hospitals,Other  Institutions,Physicians,Other Professionals,Drugs,Capital,Public Health ,Administration,Other Health Spending,Sector
1975,10.97145165,11.32574185,0.923215114,33.01714112,31.689866,5.506533168,1E-11,2.49028578,4.075765314,Private
1976,11.74353816,11.43123119,0.912932519,34.34717121,30.42768753,5.479485121,1E-11,1.918613946,3.739340323,Private
1977,11.65242976,11.14420876,0.895793505,36.16622804,29.00793472,4.945233797,1E-11,2.500972782,3.687198629,Private
1978,12.7902653,11.91111404,0.942847309,36.44947875,27.48348176,5.346111237,1E-11,2.118949073,2.957752519,Private
1979,13.56885467,12.78499184,1.138461238,36.14136908,27.54783292,3.840514442,1E-11,2.167816628,2.810159186,Private
1980,13.73057435,13.161593,0.94442939,34.72247257,26.01727157,6.514147837,1E-11,2.146206828,2.763304456,Private
1981,14.26191671,11.73316294,0.784991971,33.86811973,27.86802394,5.988005748,1E-11,2.94406035,2.551718612,Private
1982,14.91779459,11.67118023,0.925293544,34.67680787,26.74246383,6.689271231,1E-11,2.005411605,2.371777093,Private
1983,15.61928922,11.90151853,0.997554013,35.45933596,26.83407078,4.666207781,1E-11,2.170112295,2.351911421,Private
1984,16.03099031,11.29358191,0.925010742,35.49199662,26.98922808,4.145783306,1E-11,2.848502079,2.274906954,Private
1985,15.62102364,10.66420741,0.857792132,36.0428405,27.53292562,4.251286537,1E-11,2.762385058,2.267539103,Private
1986,15.729102,10.22245291,0.711622522,35.43373979,28.66080523,4.162407054,1E-11,2.742034492,2.337835992,Private
1987,15.31411889,10.20217526,0.652992354,35.74024249,29.16563739,4.097130549,1E-11,2.389925949,2.437777112,Private
1988,14.87238511,9.927546541,0.621967209,35.9916391,29.84356327,2.743062987,1E-11,3.331192809,2.668642972,Private
1989,14.10814212,9.254949393,0.591968372,35.66830525,30.08714026,2.752304168,1E-11,4.654285216,2.882905226,Private
1990,14.38209165,10.15201726,0.564042237,35.28380908,29.8678559,2.461120537,1E-11,4.271516531,3.017546816,Private
1991,14.32186547,10.45903896,0.537798096,35.00674574,30.15657541,2.021096242,1E-11,4.417348535,3.079531542,Private
1992,14.01156127,10.43442557,0.518029801,34.49207825,30.9760134,2.004781278,1E-11,4.44452415,3.118586293,Private
1993,13.63761039,10.28130621,0.496773459,33.75975619,31.33454996,1.873143939,1E-11,5.41442928,3.202430569,Private
1994,12.93157635,10.16809005,0.496698963,34.30327023,31.28852741,1.602214084,1E-11,5.960697191,3.248925712,Private
1995,11.1464415,9.885540648,0.51037886,35.00432166,31.92383235,2.054947506,1E-11,5.961959642,3.512577839,Private
1996,10.26033683,9.608887903,0.545205529,35.56730316,32.49603245,2.163501867,1E-11,5.974551603,3.384180658,Private
1997,9.891507342,9.060128646,0.515539509,36.36686367,33.61207644,1.548177754,1E-11,5.487794976,3.517911664,Private
1998,9.38100924,8.877606013,0.575551828,36.19049124,34.60089184,1.717013973,1E-11,4.459389811,4.198046054,Private
1999,9.112909975,8.815063692,0.562760769,35.66098863,33.28794564,3.245334151,1E-11,4.905148199,4.409848942,Private
2000,9.083488679,9.034182318,0.597693878,35.27116914,33.57617971,2.831429562,1E-11,5.162515904,4.443340805,Private
2001,9.081152512,8.442630196,0.460856384,35.15276033,33.02304976,3.37961959,1E-11,6.177259855,4.282671373,Private
2002,9.330342162,8.373969125,0.739083946,33.84561178,33.08527281,3.506670857,1E-11,6.556186894,4.562862432,Private
2003,8.98703855,8.340283756,0.531216193,32.53800704,34.05976452,3.844668884,1E-11,7.03618159,4.662839468,Private
2004,9.183637079,9.04953399,0.588159337,32.9011217,34.22488213,2.781681738,1E-11,6.95469912,4.31628491,Private
2005,9.142111926,8.554758099,0.605544408,33.52293889,34.06155341,3.529895756,1E-11,6.234244187,4.348953325,Private
2006,8.70460792,9.043126944,0.665733357,33.11169413,33.89680677,4.500292404,1E-11,5.649346932,4.428391546,Private
2007,8.705164279,9.407383698,0.511280522,33.70178575,34.05721502,3.24659336,1E-11,5.935387883,4.435189489,Private
2008,8.782377338,9.412903502,0.770957169,33.90503646,33.87459015,2.777505457,1E-11,6.214280875,4.262349054,Private
2009,9.149947158,9.839069852,0.751398465,33.27630117,34.07072871,2.865624196,1E-11,5.926371775,4.120558666,Private
2010,9.012610729,9.778051635,0.510945666,30.03628006,36.20052035,3.602411802,1E-11,5.861080668,4.998099089,Private
2011,8.935819393,9.787315151,0.668917287,29.86368907,35.99517638,3.471244314,1E-11,6.204499849,5.073338556,Private
2012,9.214033776,9.907945721,0.748114832,30.64514257,35.26653041,3.570115225,1E-11,5.833404143,4.814713315,Private
2013,9.612808686,10.44164354,0.644496212,30.8497683,34.82486767,2.254942261,1E-11,5.971218799,5.400254529,Private
2014,9.607402773,10.67961142,0.653055433,30.92486121,34.22713389,2.714489991,1E-11,5.793157619,5.400287663,Private
2015,9.69748558,10.8253158,0.699902553,31.13401203,34.02765323,2.442130915,1E-11,5.65300089,5.520498996,Private
1975,55.23259019,8.565538147,19.49569716,1.494304427,1.704917312,4.047523995,4.374253549,2.917839961,2.167335256,Public
1976,55.26090699,9.236074761,18.87288892,1.51959068,1.995355708,3.392487935,4.72039806,2.772401335,2.229895616,Public
1977,53.80299917,9.921522852,19.01395442,1.596505786,2.250471342,3.254158795,5.053001258,2.686007937,2.421378448,Public
1978,52.61999213,10.48661889,19.38836358,1.774427721,2.514787038,3.487766952,4.719112428,2.4582674,2.550663856,Public
1979,51.45322841,10.86684922,19.27178064,1.997606225,2.655302064,3.764506505,4.858286032,2.416876777,2.715564132,Public
1980,50.97516918,10.81519688,19.21390699,2.17949151,2.761038543,3.772119686,5.019442659,2.346558659,2.917075896,Public
1981,50.78251658,10.76420338,18.9299374,2.42625991,2.842476792,3.670084897,5.045024869,2.231493268,3.308002908,Public
1982,51.18781467,10.79618332,18.56600169,2.150290764,2.915481893,3.862762311,4.903427003,2.331289455,3.286748899,Public
1983,50.5158782,10.71461036,19.069385,2.033477218,3.134068167,4.084519519,4.760034258,2.265826628,3.422200645,Public
1984,49.84929157,10.45630086,19.47490904,2.022492735,3.372512928,4.077261133,4.923609713,2.315512548,3.508109472,Public
1985,48.96992376,10.18908289,19.81047171,2.061835836,3.717201627,4.109838909,5.036366353,2.31533508,3.789943848,Public
1986,48.99272812,9.1684162,20.28283342,2.133061934,4.055424209,4.154829272,4.826887595,2.256984311,4.128834941,Public
1987,48.93414031,8.934584961,20.72766623,2.053663287,4.258086302,3.968146873,4.738118704,2.224028123,4.161565219,Public
1988,48.4680172,9.087939582,20.60208134,2.065185319,4.461887247,4.063301511,4.681341098,2.094259924,4.475986783,Public
1989,48.36093101,9.13465514,20.09622567,2.141210704,4.702400689,4.061888228,4.661188269,2.06335742,4.778142866,Public
1990,45.10114873,11.20588548,19.97311425,2.169343987,5.004339814,3.823502458,4.902475691,2.249531782,5.570657805,Public
1991,43.97942753,11.84785457,20.2187207,2.213427597,5.258411891,3.403547604,4.877410753,2.106043305,6.095156044,Public
1992,43.77977845,12.08661975,19.80918744,2.179206075,5.614204875,3.275642847,4.983967599,2.04549615,6.22589681,Public
1993,43.54758008,11.91809095,19.84228185,2.113242664,5.855891047,3.177104021,5.181921402,2.064475796,6.299412181,Public
1994,42.02083157,11.91654757,20.03079217,2.0329894,5.869726856,3.695265463,5.649784809,2.212514902,6.571547261,Public
1995,41.32889069,12.29137234,19.8733905,1.953735832,6.36720097,3.450111792,5.933209269,2.219115166,6.582973443,Public
1996,41.37022351,12.39615296,20.03279677,1.875178829,6.265101706,3.170744628,6.164447151,2.171374132,6.55398032,Public
1997,40.40598089,12.37888506,20.1119896,1.862832515,6.518532578,3.183659125,6.196360016,2.204407959,7.137352271,Public
1998,39.76787832,12.12193248,19.65179252,1.754324754,6.772973845,3.16715599,7.259375401,2.271468345,7.233098344,Public
1999,39.1100885,11.97494381,19.36449422,1.774487215,7.191444262,4.150582096,6.982616966,2.292600773,7.15874216,Public
2000,38.90419433,11.79497905,18.83160241,1.739938555,7.643834936,4.525350203,7.067982564,2.303193301,7.188924657,Public
2001,38.14458406,11.71489066,18.67248816,1.618692977,8.096449796,4.560818274,7.470547676,2.321939657,7.399588736,Public
2002,38.38463543,11.64846964,18.69553677,1.480175618,8.53028193,4.630930058,7.276545779,2.336106799,7.017317968,Public
2003,37.98981312,11.36930631,18.58045251,1.363416345,8.750544684,4.830393602,7.937876932,2.355942338,6.822254159,Public
2004,38.30230534,11.5485517,18.56159147,1.310547917,8.987355431,4.793452184,7.581258286,2.335565694,6.579371979,Public
2005,37.74894395,11.25981735,18.62561859,1.163262888,9.080723718,5.206895367,7.952744117,2.393095417,6.568898602,Public
2006,37.81008409,11.04551476,18.80993046,1.161132205,9.142252669,4.94056757,8.067120014,2.299072741,6.724325493,Public
2007,37.69145397,10.84948152,18.96259749,1.177902439,9.027217199,5.076459531,8.05813425,2.288614148,6.868139451,Public
2008,37.36971686,10.55812913,19.28090142,1.212269564,8.853507112,5.573362012,7.821981747,2.041896473,7.288235686,Public
2009,37.41148692,10.59501857,19.58856539,1.256199805,8.907324412,5.612285633,7.608990796,1.94133267,7.07879581,Public
2010,37.91566104,10.58924484,19.95698277,1.250696571,8.625828499,5.911906292,7.237223119,1.815645304,6.696811563,Public
2011,38.13239346,10.44951539,20.49216473,1.258039349,8.509831945,5.536740251,7.354564845,1.775283545,6.491466481,Public
2012,38.13962711,10.38168899,20.59471487,1.30197097,8.261688354,5.603711141,7.48776837,1.815830358,6.412999839,Public
2013,38.13001939,10.48756574,21.12012351,1.25515923,8.130227542,5.025855703,7.673715519,1.80883596,6.368497399,Public
2014,37.64513593,10.45293282,21.25138092,1.23039656,8.049775485,5.539980014,7.663490721,1.767985032,6.398922524,Public
2015,37.76494048,10.59770733,21.61112888,1.249577222,8.127967615,4.6199822,7.781053559,1.760120356,6.487522354,Public
